Protein Group,Protein ID,Accession,-10lgP,Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
78,44,tr|R5UE03|R5UE03_9BACE,371.37,57,44,11,Carbamidomethylation; Oxidation (M),100274,Pyruvate phosphate dikinase OS=Bacteroides sp. CAG:702 GN=BN759_01582 PE=4 SV=1
180,178,tr|A0A078S062|A0A078S062_BACUN,331.00,37,29,1,Carbamidomethylation; Oxidation (M),129879,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides uniformis str. 3978 T3 ii GN=nifJ PE=3 SV=1
180,179,tr|I8ZNS4|I8ZNS4_BACUN,331.00,37,29,1,Carbamidomethylation; Oxidation (M),129879,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides uniformis CL03T12C37 GN=HMPREF1073_02513 PE=3 SV=1
180,180,tr|R7EC01|R7EC01_9BACE,331.00,37,29,1,Carbamidomethylation; Oxidation (M),129907,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides uniformis CAG:3 GN=BN594_01815 PE=3 SV=1
180,181,tr|A7V0S9|A7V0S9_BACUC,331.00,37,29,1,Carbamidomethylation; Oxidation (M),129879,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides uniformis (strain ATCC 8492 / DSM 6597 / CIP 103695 / JCM 5828 / NCTC 13054 / VPI 0061) GN=nifJ PE=3 SV=1
180,182,tr|R9HUE4|R9HUE4_BACUN,331.00,37,29,1,Carbamidomethylation; Oxidation (M),129879,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides uniformis dnLKV2 GN=C801_01994 PE=3 SV=1
180,183,tr|D2ESC3|D2ESC3_9BACE,331.00,37,29,1,Carbamidomethylation; Oxidation (M),129879,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides sp. D20 GN=nifJ PE=3 SV=1
180,184,tr|E5VAH1|E5VAH1_9BACE,331.00,37,29,1,Carbamidomethylation; Oxidation (M),129879,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides sp. 4_1_36 GN=HMPREF1007_01754 PE=3 SV=1
188,158,tr|E6SQX3|E6SQX3_BACT6,330.69,37,29,1,Carbamidomethylation; Oxidation (M),129992,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides helcogenes (strain ATCC 35417 / DSM 20613 / JCM 6297 / P 36-108) GN=Bache_3115 PE=3 SV=1
149,242,tr|E2ZG97|E2ZG97_9FIRM,329.08,34,34,1,Carbamidomethylation,128332,Pyruvate-flavodoxin oxidoreductase OS=Faecalibacterium cf. prausnitzii KLE1255 GN=nifJ PE=3 SV=1
616,217,tr|F0R941|F0R941_BACSH,328.81,36,26,6,Carbamidomethylation,98568,Alpha-glucan phosphorylase OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_3641 PE=3 SV=1
281,6,tr|R5MHW1|R5MHW1_9BACE,328.74,69,21,1,Carbamidomethylation; Oxidation (M),44341,Phosphoglycerate kinase OS=Bacteroides sp. CAG:1076 GN=pgk PE=3 SV=1
171,35,tr|R5U0F3|R5U0F3_9BACE,328.44,59,26,3,Carbamidomethylation; Oxidation (M),61530,Tetratricopeptide TPR_1 repeat-containing protein OS=Bacteroides sp. CAG:702 GN=BN759_00051 PE=4 SV=1
227,1,tr|R6YCV7|R6YCV7_9BACE,328.17,76,23,2,Carbamidomethylation; Oxidation (M),44294,Phosphoglycerate kinase OS=Bacteroides sp. CAG:714 GN=pgk PE=3 SV=1
537,34,tr|F0R1G1|F0R1G1_BACSH,327.97,55,24,1,Carbamidomethylation; Oxidation (M),60429,Fumarate hydratase class I OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_2874 PE=3 SV=1
586,32,tr|R5STD7|R5STD7_9BACE,327.43,56,25,1,Carbamidomethylation; Oxidation (M),60297,Fumarate hydratase class I OS=Bacteroides sp. CAG:661 GN=BN750_02529 PE=3 SV=1
586,33,tr|R5C9K4|R5C9K4_9BACE,327.43,56,25,1,Carbamidomethylation; Oxidation (M),60297,Fumarate hydratase class I OS=Bacteroides sp. CAG:598 GN=BN727_01374 PE=3 SV=1
98,45,tr|R7CYJ3|R7CYJ3_9BACE,325.65,58,27,1,Carbamidomethylation; Oxidation (M),59138,Phosphoenolpyruvate carboxykinase [ATP] OS=Bacteroides sp. CAG:462 GN=pckA PE=3 SV=1
225,29,tr|R6ID58|R6ID58_9FIRM,325.35,61,26,8,Carbamidomethylation; Oxidation (M),60419,Methylmalonyl-CoA mutase OS=Phascolarctobacterium sp. CAG:266 GN=BN574_00315 PE=4 SV=1
5,732,tr|A0A0M0MYC9|A0A0M0MYC9_9BACT,323.33,64,22,1,Carbamidomethylation; Oxidation (M),43616,Elongation factor Tu OS=Prevotella sp. 109 GN=tuf PE=3 SV=1
204,360,tr|A8SBU1|A8SBU1_9FIRM,323.21,31,33,1,Carbamidomethylation,131105,Pyruvate-flavodoxin oxidoreductase OS=Faecalibacterium prausnitzii M21/2 GN=nifJ PE=3 SV=1
125,146,tr|E6SVS2|E6SVS2_BACT6,322.03,38,28,1,Carbamidomethylation; Oxidation (M),99887,Pyruvate phosphate dikinase OS=Bacteroides helcogenes (strain ATCC 35417 / DSM 20613 / JCM 6297 / P 36-108) GN=Bache_2550 PE=4 SV=1
76,1098,tr|S0F5Z8|S0F5Z8_9BACE,321.81,76,21,2,Carbamidomethylation; Oxidation (M),35957,Glyceraldehyde-3-phosphate dehydrogenase OS=Bacteroides coprophilus DSM 18228 = JCM 13818 GN=gap PE=3 SV=1
76,1099,tr|B5D1F4|B5D1F4_BACPM,321.81,76,21,2,Carbamidomethylation; Oxidation (M),35957,Glyceraldehyde-3-phosphate dehydrogenase OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=gap PE=3 SV=1
304,65,tr|R5S444|R5S444_9BACE,321.01,47,27,1,Carbamidomethylation; Oxidation (M),92688,Pyruvate ferredoxin/flavodoxin oxidoreductase OS=Bacteroides sp. CAG:661 GN=BN750_02149 PE=4 SV=1
271,364,tr|R7CU71|R7CU71_9BACE,320.18,29,25,2,Carbamidomethylation; Oxidation (M),129925,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides sp. CAG:462 GN=BN666_01280 PE=3 SV=1
75,1097,tr|B3JFW0|B3JFW0_9BACE,320.14,78,21,1,Carbamidomethylation; Oxidation (M),36072,Glyceraldehyde-3-phosphate dehydrogenase OS=Bacteroides coprocola DSM 17136 GN=gap PE=3 SV=1
644,49,tr|R7JHT8|R7JHT8_9PORP,319.21,56,23,1,Carbamidomethylation; Oxidation (M),60476,Fumarate hydratase class I OS=Parabacteroides sp. CAG:409 GN=BN646_02289 PE=3 SV=1
11,911,tr|R7HUU6|R7HUU6_9BACT,318.60,65,21,2,Carbamidomethylation; Oxidation (M),43539,Elongation factor Tu OS=Prevotella sp. CAG:279 GN=tuf PE=3 SV=1
46,735,tr|K5ZSI5|K5ZSI5_9PORP,318.22,60,23,1,Carbamidomethylation; Oxidation (M),43697,Elongation factor Tu OS=Parabacteroides johnsonii CL02T12C29 GN=tuf PE=3 SV=1
126,2437,tr|R5TYD4|R5TYD4_9FIRM,318.02,49,17,1,Carbamidomethylation; Oxidation (M),43860,Elongation factor Tu OS=Ruminococcus gnavus CAG:126 GN=tuf PE=3 SV=1
126,2438,tr|V8BW16|V8BW16_RUMGN,318.02,49,17,1,Carbamidomethylation; Oxidation (M),43860,Elongation factor Tu OS=Ruminococcus gnavus CC55_001C GN=tuf PE=3 SV=1
126,2439,tr|A0A173XUF5|A0A173XUF5_RUMGN,318.02,49,17,1,Carbamidomethylation; Oxidation (M),43860,Elongation factor Tu OS=Ruminococcus gnavus GN=tuf_1 PE=3 SV=1
126,2440,tr|A7B217|A7B217_RUMGN,318.02,49,17,1,Carbamidomethylation; Oxidation (M),43860,Elongation factor Tu OS=Ruminococcus gnavus ATCC 29149 GN=tuf PE=3 SV=1
354,245,tr|W6P5U0|W6P5U0_9BACE,318.02,33,24,1,Carbamidomethylation; Oxidation (M),127546,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides xylanisolvens SD CC 1b GN=BN890_9350 PE=3 SV=1
23,936,tr|R5GKZ1|R5GKZ1_9BACT,317.61,61,23,1,Carbamidomethylation; Oxidation (M),43806,Elongation factor Tu OS=Prevotella sp. CAG:755 GN=tuf PE=3 SV=1
378,725,tr|F0R3V9|F0R3V9_BACSH,315.40,67,19,2,Carbamidomethylation; Oxidation (M),44342,Phosphoglycerate kinase OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=pgk PE=3 SV=1
338,70,tr|R5VCP4|R5VCP4_9BACE,315.01,52,24,3,Oxidation (M),61526,Uncharacterized protein OS=Bacteroides plebeius CAG:211 GN=BN536_00706 PE=4 SV=1
44,2260,tr|R7LHM2|R7LHM2_9BACT,314.85,49,21,1,Carbamidomethylation; Oxidation (M),43729,Elongation factor Tu OS=Prevotella sp. CAG:891 GN=tuf PE=3 SV=1
212,2159,tr|C6JC22|C6JC22_9FIRM,314.76,60,18,1,Carbamidomethylation; Oxidation (M),43774,Elongation factor Tu OS=Ruminococcus sp. 5_1_39BFAA GN=tuf PE=3 SV=1
291,23,tr|B5CXT7|B5CXT7_BACPM,314.51,66,24,4,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term),59050,Phosphoenolpyruvate carboxykinase [ATP] OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=pckA PE=3 SV=1
224,2633,tr|A0A174Y7Q1|A0A174Y7Q1_9FIRM,313.85,56,17,1,Carbamidomethylation; Oxidation (M),43740,Elongation factor Tu OS=[Ruminococcus] torques GN=tuf PE=3 SV=1
169,2256,tr|A0A150YBT4|A0A150YBT4_9FIRM,313.38,55,18,5,Carbamidomethylation; Oxidation (M),44031,Elongation factor Tu OS=Ruminococcus sp. DSM 100440 GN=tuf PE=3 SV=1
54,1039,tr|R6E6E7|R6E6E7_9BACT,313.00,58,21,2,Carbamidomethylation; Oxidation (M),43794,Elongation factor Tu OS=Prevotella sp. CAG:1320 GN=tuf PE=3 SV=1
344,521,tr|R5KGL2|R5KGL2_9BACT,312.89,37,34,6,Carbamidomethylation; Oxidation (M),130619,Pyruvate-flavodoxin oxidoreductase OS=Prevotella sp. CAG:1124 GN=BN467_01039 PE=3 SV=1
466,1334,tr|R7A9G6|R7A9G6_9BACE,312.57,46,19,1,Carbamidomethylation; Oxidation (M),57111,L-arabinose isomerase OS=Bacteroides sp. CAG:875 GN=araA PE=3 SV=1
317,88,tr|R6ZLH3|R6ZLH3_9BACE,312.55,50,23,1,Oxidation (M),59017,Uncharacterized protein OS=Bacteroides sp. CAG:875 GN=BN800_01705 PE=4 SV=1
478,1521,tr|F0R1I9|F0R1I9_BACSH,312.20,44,19,2,Carbamidomethylation; Oxidation (M),57104,L-arabinose isomerase OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=araA PE=3 SV=1
280,1300,tr|C3WGH0|C3WGH0_FUSMR,311.24,61,18,4,Carbamidomethylation; Oxidation (M),43078,Elongation factor Tu OS=Fusobacterium mortiferum ATCC 9817 GN=tuf PE=3 SV=2
22,2237,tr|R5Q3S1|R5Q3S1_9BACT,311.17,53,20,1,Carbamidomethylation; Oxidation (M),43751,Elongation factor Tu OS=Prevotella sp. CAG:487 GN=tuf PE=3 SV=1
593,36,tr|F0R2Q9|F0R2Q9_BACSH,311.10,56,24,4,Carbamidomethylation; Acetylation (Protein N-term),64356,Phosphoglucomutase/phosphomannomutase alpha/beta/alpha domain I OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_0861 PE=3 SV=1
222,96,tr|R6SAV0|R6SAV0_9BACE,310.33,47,23,1,Oxidation (M),61429,Uncharacterized protein OS=Bacteroides coprophilus CAG:333 GN=BN612_00394 PE=4 SV=1
222,97,tr|S0F9R8|S0F9R8_9BACE,310.33,47,23,1,Oxidation (M),61399,Tetratricopeptide repeat protein OS=Bacteroides coprophilus DSM 18228 = JCM 13818 GN=BACCOPRO_02022 PE=4 SV=1
458,1231,tr|R6E3K2|R6E3K2_9BACT,310.14,45,19,3,Carbamidomethylation; Oxidation (M),57243,L-arabinose isomerase OS=Prevotella sp. CAG:1320 GN=araA PE=3 SV=1
175,820,tr|R5R1L2|R5R1L2_9FIRM,309.35,39,32,2,Carbamidomethylation; Oxidation (M),95854,Pyruvate OS=Ruminococcus torques CAG:61 GN=BN734_00778 PE=4 SV=1
175,821,tr|A0A173ZLR8|A0A173ZLR8_9FIRM,309.35,39,32,2,Carbamidomethylation; Oxidation (M),95854,Pyruvate  phosphate dikinase OS=[Ruminococcus] torques GN=ppdK PE=4 SV=1
175,822,tr|A5KJ22|A5KJ22_9FIRM,309.35,39,32,2,Carbamidomethylation; Oxidation (M),95854,Pyruvate  phosphate dikinase OS=Ruminococcus torques ATCC 27756 GN=ppdK PE=4 SV=1
403,361,tr|A0A174VZM9|A0A174VZM9_9PORP,309.33,29,24,1,Carbamidomethylation; Oxidation (M),129373,Pyruvate-flavodoxin oxidoreductase OS=Parabacteroides distasonis GN=porA_2 PE=3 SV=1
170,51,tr|F0R3E6|F0R3E6_BACSH,309.21,54,27,1,Carbamidomethylation; Oxidation (M),77837,Elongation factor G OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=fusA PE=3 SV=1
261,89,tr|R5C2N0|R5C2N0_9BACE,308.78,47,24,2,Carbamidomethylation; Oxidation (M),77641,Elongation factor G OS=Bacteroides sp. CAG:598 GN=fusA PE=3 SV=1
172,507,tr|A7B768|A7B768_RUMGN,308.60,38,31,2,Carbamidomethylation; Oxidation (M),96237,Pyruvate  phosphate dikinase OS=Ruminococcus gnavus ATCC 29149 GN=ppdK PE=4 SV=1
172,508,tr|V8BMA4|V8BMA4_RUMGN,308.60,38,31,2,Carbamidomethylation; Oxidation (M),96237,Pyruvate  phosphate dikinase OS=Ruminococcus gnavus CC55_001C GN=HMPREF1201_02794 PE=4 SV=1
172,509,tr|A0A173YXH9|A0A173YXH9_RUMGN,308.60,38,31,2,Carbamidomethylation; Oxidation (M),96237,Pyruvate  phosphate dikinase OS=Ruminococcus gnavus GN=ppdK PE=4 SV=1
206,2642,tr|S0FEB0|S0FEB0_9BACE,308.25,64,17,1,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term),35894,Uncharacterized protein OS=Bacteroides coprophilus DSM 18228 = JCM 13818 GN=BACCOPRO_02855 PE=4 SV=1
206,2643,tr|B5CYF4|B5CYF4_BACPM,308.25,64,17,1,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term),35893,Uncharacterized protein OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=BACPLE_01751 PE=4 SV=1
341,538,tr|R5VD89|R5VD89_9BACE,307.53,33,24,1,Carbamidomethylation; Oxidation (M),100645,Uncharacterized protein OS=Bacteroides plebeius CAG:211 GN=BN536_00864 PE=4 SV=1
301,828,tr|R5Q1U9|R5Q1U9_9BACT,306.97,34,23,1,Carbamidomethylation; Oxidation (M),73468,Fumarate reductase flavoprotein subunit OS=Prevotella sp. CAG:487 GN=BN679_01899 PE=4 SV=1
352,530,tr|B5CWN1|B5CWN1_BACPM,306.79,34,24,1,Carbamidomethylation; Oxidation (M),100699,Pyruvate  phosphate dikinase OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=ppdK PE=4 SV=1
39,1194,tr|E0NVV0|E0NVV0_9BACT,306.59,55,19,2,Carbamidomethylation; Oxidation (M),44063,Elongation factor Tu OS=Prevotella marshii DSM 16973 = JCM 13450 GN=tuf PE=3 SV=1
583,39,tr|R6YBI1|R6YBI1_9BACE,306.39,51,28,1,Carbamidomethylation,69976,DNA-directed RNA polymerase subunit beta OS=Bacteroides sp. CAG:714 GN=BN762_00999 PE=4 SV=1
366,479,tr|B5D3K4|B5D3K4_BACPM,305.83,45,22,1,Oxidation (M),61542,Tetratricopeptide repeat protein OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=BACPLE_03598 PE=4 SV=1
238,494,tr|A0A150Y7X8|A0A150Y7X8_9FIRM,305.21,38,31,6,Carbamidomethylation; Oxidation (M),96835,Pyruvate  phosphate dikinase OS=Ruminococcus sp. DSM 100440 GN=AXF09_09655 PE=4 SV=1
252,139,tr|R6FDF8|R6FDF8_9BACE,304.98,43,23,1,Carbamidomethylation; Oxidation (M),77796,Elongation factor G OS=Bacteroides sp. CAG:633 GN=fusA PE=3 SV=1
372,799,tr|R5CIF3|R5CIF3_9BACT,304.53,35,31,2,Carbamidomethylation; Oxidation (M),130595,Pyruvate-flavodoxin oxidoreductase OS=Prevotella sp. CAG:1058 GN=BN458_00969 PE=3 SV=1
300,323,tr|U6RQL4|U6RQL4_9BACE,304.34,32,23,1,Carbamidomethylation; Oxidation (M),99690,Pyruvate  phosphate dikinase OS=Bacteroides sp. HPS0048 GN=HMPREF1214_01881 PE=4 SV=1
300,324,tr|I8XHV4|I8XHV4_9BACE,304.34,32,23,1,Carbamidomethylation; Oxidation (M),99660,Pyruvate  phosphate dikinase OS=Bacteroides nordii CL02T12C05 GN=HMPREF1068_02763 PE=4 SV=1
542,488,tr|R7J412|R7J412_9PORP,304.08,42,25,3,Carbamidomethylation; Oxidation (M),99161,Pyruvate-flavodoxin oxidoreductase OS=Parabacteroides sp. CAG:409 GN=BN646_00552 PE=4 SV=1
262,2257,tr|D4L687|D4L687_9FIRM,303.75,54,17,5,Carbamidomethylation; Oxidation (M),44364,Elongation factor Tu OS=Ruminococcus bromii L2-63 GN=tuf PE=3 SV=1
262,2258,tr|R5E0E0|R5E0E0_9FIRM,303.75,54,17,5,Carbamidomethylation; Oxidation (M),44364,Elongation factor Tu OS=Ruminococcus sp. CAG:108 GN=tuf PE=3 SV=1
483,66,tr|F0R4P0|F0R4P0_BACSH,303.55,46,25,2,Carbamidomethylation; Oxidation (M),80841,Small GTP-binding protein OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_1015 PE=4 SV=1
496,633,tr|C3WDB8|C3WDB8_FUSMR,303.43,33,31,15,Carbamidomethylation,131008,Pyruvate-flavodoxin oxidoreductase OS=Fusobacterium mortiferum ATCC 9817 GN=nifJ PE=3 SV=1
20,1698,tr|A7UZU5|A7UZU5_BACUC,302.70,56,19,1,Carbamidomethylation; Oxidation (M),43542,Elongation factor Tu OS=Bacteroides uniformis (strain ATCC 8492 / DSM 6597 / CIP 103695 / JCM 5828 / NCTC 13054 / VPI 0061) GN=tuf PE=3 SV=1
20,1699,tr|D2EW38|D2EW38_9BACE,302.70,56,19,1,Carbamidomethylation; Oxidation (M),43542,Elongation factor Tu OS=Bacteroides sp. D20 GN=tuf PE=3 SV=1
20,1700,tr|I9TWV4|I9TWV4_BACUN,302.70,56,19,1,Carbamidomethylation; Oxidation (M),43542,Elongation factor Tu OS=Bacteroides uniformis CL03T12C37 GN=tuf PE=3 SV=1
20,1701,tr|E5V5P1|E5V5P1_9BACE,302.70,56,19,1,Carbamidomethylation; Oxidation (M),43542,Elongation factor Tu OS=Bacteroides sp. 4_1_36 GN=tuf PE=3 SV=1
20,1702,tr|R9IDT4|R9IDT4_BACUN,302.70,56,19,1,Carbamidomethylation; Oxidation (M),43542,Elongation factor Tu OS=Bacteroides uniformis dnLKV2 GN=tuf PE=3 SV=1
20,1703,tr|A0A078RZF4|A0A078RZF4_BACUN,302.70,56,19,1,Carbamidomethylation; Oxidation (M),43500,Elongation factor Tu OS=Bacteroides uniformis str. 3978 T3 ii GN=tuf PE=3 SV=1
20,1704,tr|A0A139JX79|A0A139JX79_BACUN,302.70,56,19,1,Carbamidomethylation; Oxidation (M),43542,Elongation factor Tu OS=Bacteroides uniformis GN=tuf PE=3 SV=1
402,42,tr|R6YD18|R6YD18_9BACE,302.62,51,28,1,Carbamidomethylation; Oxidation (M),80798,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_01954 PE=4 SV=1
290,111,tr|S0F4S9|S0F4S9_9BACE,302.57,45,22,1,Carbamidomethylation; Oxidation (M),77844,Elongation factor G OS=Bacteroides coprophilus DSM 18228 = JCM 13818 GN=fusA PE=3 SV=1
585,738,tr|R6HRZ2|R6HRZ2_9FIRM,302.49,58,20,16,Carbamidomethylation; Oxidation (M),55150,Succinate CoA transferase OS=Phascolarctobacterium sp. CAG:266 GN=BN574_00314 PE=4 SV=1
30,1210,tr|R5Y249|R5Y249_9BACE,302.36,58,19,1,Carbamidomethylation; Oxidation (M),43615,Elongation factor Tu OS=Bacteroides sp. CAG:144 GN=tuf PE=3 SV=1
258,38,tr|B3JHG7|B3JHG7_9BACE,302.27,54,26,2,Carbamidomethylation; Oxidation (M),77791,Elongation factor G OS=Bacteroides coprocola DSM 17136 GN=fusA PE=3 SV=1
