Protein Group,Protein ID,Accession,Significance,Coverage (%),#Peptides,#Unique,PTM,A1 Area,A2 Area,A3 Area,1 Area,B1 Area,B2 Area,Sample Profile (Ratio),A Area,B Area,Group Profile (Ratio),Avg. Mass,Description
394,4764,tr|R5AZT0|R5AZT0_9BACE,8.48,39,13,1,Oxidation (M),4.28E7,5.36E7,6.75E7,8.55E7,1.15E8,1.02E8,0.80:1.00:1.26:1.60:2.14:1.90,5.46E7,1.01E8,1.00:1.84,36190,Glyceraldehyde-3-phosphate dehydrogenase OS=Bacteroides sp. CAG:927 GN=BN813_00849 PE=3 SV=1
6461,22760,tr|B5D3U7|B5D3U7_BACPM,7.91,11,2,2,,0,0,0,1.44E6,0,2.36E5,0:0:0:1.00:0:0.16,0,5.59E5,0:1.00,31026,Peptidyl-prolyl cis-trans isomerase OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=BACPLE_03701 PE=3 SV=1
1497,4282,tr|A0A174AKJ3|A0A174AKJ3_RUMGN,7.84,58,16,3,Carbamidomethylation,1.58E6,1.79E6,2.02E5,3.97E4,2.07E5,3.04E5,0.88:1.00:0.11:0.02:0.12:0.17,1.14E6,1.84E5,1.00:0.16,35969,Glyceraldehyde-3-phosphate dehydrogenase OS=Ruminococcus gnavus GN=gap PE=3 SV=1
528,1523,tr|R5CPM9|R5CPM9_9BACT,7.50,38,17,1,Carbamidomethylation,2.55E5,2.33E5,0,1.12E6,9.34E5,8.82E5,1.09:1.00:0:4.80:4.01:3.79,1.73E5,9.84E5,1.00:5.70,59695,Phosphoenolpyruvate carboxykinase [ATP] OS=Prevotella sp. CAG:255 GN=pckA PE=3 SV=1
3308,6187,tr|R7C3H4|R7C3H4_9BURK,7.42,27,9,1,Carbamidomethylation,0,0,4.3E5,0,1.17E6,1.51E6,0:0:1.00:0:2.71:3.51,1.43E5,8.93E5,1.00:6.22,50866,ATP synthase subunit beta OS=Sutterella sp. CAG:397 GN=atpD PE=3 SV=1
4662,7935,tr|R5CTP0|R5CTP0_9BACT,7.36,7,5,4,,0,0,3.56E5,6.17E5,1.19E6,7.78E5,0:0:1.00:1.74:3.35:2.19,1.19E5,8.62E5,1.00:7.27,123794,Uncharacterized protein OS=Prevotella sp. CAG:1058 GN=BN458_00440 PE=4 SV=1
6056,17124,tr|E6SST5|E6SST5_BACT6,7.12,4,3,3,,2.66E6,1.44E6,5.18E5,4.84E5,3.78E5,0,1.84:1.00:0.36:0.34:0.26:0,1.54E6,2.87E5,1.00:0.19,107762,TonB-dependent receptor OS=Bacteroides helcogenes (strain ATCC 35417 / DSM 20613 / JCM 6297 / P 36-108) GN=Bache_1188 PE=3 SV=1
6380,21610,tr|E5V664|E5V664_9BACE,6.94,3,2,1,,1.33E5,2.05E5,0,7.62E5,0,1.01E8,0.65:1.00:0:3.71:0:493.17,1.35E5,3.4E7,1.00:251.56,113758,TonB-dependent Receptor Plug domain-containing protein OS=Bacteroides sp. 4_1_36 GN=HMPREF1007_00247 PE=4 SV=1
2736,11136,tr|D4KBJ8|D4KBJ8_9FIRM,6.85,23,7,2,Carbamidomethylation,9.17E4,0,0,1.28E6,0,3.27E5,1.00:0:0:13.95:0:3.57,3.06E4,5.35E5,1.00:17.52,34770,Uncharacterized protein OS=Faecalibacterium prausnitzii SL3/3 GN=FPR_19940 PE=4 SV=1
4266,7751,tr|R5UR53|R5UR53_9BACE,6.83,17,7,3,Carbamidomethylation,0,2.31E5,0,1.16E6,3.36E5,2.23E5,0:1.00:0:5.05:1.46:0.97,7.68E4,5.74E5,1.00:7.47,54238,Uronate isomerase OS=Bacteroides sp. CAG:702 GN=uxaC PE=3 SV=1
3835,15830,tr|C3WF14|C3WF14_FUSMR,6.78,40,5,5,,7.96E5,1.59E6,4.22E6,5.35E6,7.29E6,5.88E6,0.50:1.00:2.66:3.37:4.59:3.70,2.2E6,6.17E6,1.00:2.80,14548,30S ribosomal protein S9 OS=Fusobacterium mortiferum ATCC 9817 GN=rpsI PE=3 SV=2
4694,6970,tr|C3WBG6|C3WBG6_FUSMR,6.71,13,7,5,Carbamidomethylation; Oxidation (M),9.99E4,2.41E5,4.8E5,2.26E6,1.35E6,8.43E5,0.41:1.00:1.99:9.39:5.59:3.50,2.74E5,1.48E6,1.00:5.43,76958,Rubredoxin OS=Fusobacterium mortiferum ATCC 9817 GN=FMAG_00765 PE=4 SV=1
1778,2814,tr|C3WGA8|C3WGA8_FUSMR,6.71,41,12,3,Carbamidomethylation,7.67E5,1.58E6,3.89E5,5.24E6,2.19E6,1.57E6,0.49:1.00:0.25:3.33:1.39:1.00,9.11E5,3E6,1.00:3.30,46552,Enolase OS=Fusobacterium mortiferum ATCC 9817 GN=eno PE=3 SV=1
1438,10363,tr|R6HE06|R6HE06_9FIRM,6.68,82,6,6,,3.53E6,6.59E6,1.06E7,1.11E7,1.64E7,2.06E7,0.54:1.00:1.61:1.69:2.48:3.13,6.91E6,1.67E7,1.00:2.41,13435,B12 binding domain protein OS=Phascolarctobacterium sp. CAG:266 GN=BN574_00316 PE=4 SV=1
4747,17625,tr|R6YH10|R6YH10_9BACE,6.62,14,4,4,,1.36E6,1.59E6,9.21E6,1.89E6,7.5E5,9.9E5,0.86:1.00:5.79:1.19:0.47:0.62,3.41E6,1.21E6,1.00:0.35,42195,Na(+)-translocating NADH-quinone reductase subunit B OS=Bacteroides sp. CAG:714 GN=nqrB PE=3 SV=1
1930,11695,tr|A0A174MLL7|A0A174MLL7_9FIRM,6.58,24,5,2,Carbamidomethylation,7.16E5,1.15E6,1.27E6,0,4.9E5,1.64E5,0.62:1.00:1.10:0:0.43:0.14,1.04E6,2.18E5,1.00:0.21,24939,FeS cluster assembly scaffold protein NifU OS=Faecalibacterium prausnitzii GN=ERS852542_00118 PE=4 SV=1
586,738,tr|R6HRZ2|R6HRZ2_9FIRM,6.41,58,20,15,Carbamidomethylation; Oxidation (M),9.48E6,1.19E7,1.35E7,1.89E7,1.83E7,2.81E7,0.80:1.00:1.13:1.59:1.54:2.36,1.16E7,2.18E7,1.00:1.87,55150,Succinate CoA transferase OS=Phascolarctobacterium sp. CAG:266 GN=BN574_00314 PE=4 SV=1
5157,11076,tr|F0R088|F0R088_BACSH,6.30,7,5,3,,7.13E4,3.2E5,0,1.11E6,6.68E4,1.02E6,0.22:1.00:0:3.47:0.21:3.18,1.3E5,7.32E5,1.00:5.61,124606,Acriflavin resistance protein OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=Bacsa_1649 PE=3 SV=1
2973,7618,tr|A0A174B5C3|A0A174B5C3_9FIRM,6.20,12,8,2,,2.16E5,4.31E5,5.79E5,7.82E5,1.74E6,2.28E6,0.50:1.00:1.34:1.82:4.04:5.29,4.08E5,1.6E6,1.00:3.92,85085,Formate acetyltransferase OS=[Ruminococcus] torques GN=pflB PE=4 SV=1
4907,17699,tr|F3PIP0|F3PIP0_9BACE,6.04,8,4,4,,1.58E6,1.55E6,1.82E7,3.23E6,2.33E7,2.91E7,1.02:1.00:11.75:2.08:15.05:18.82,7.11E6,2.05E7,1.00:2.88,57231,Conserved domain protein OS=Bacteroides clarus YIT 12056 GN=HMPREF9445_01838 PE=4 SV=1
5618,15660,tr|D1JSU8|D1JSU8_9BACE,5.95,7,4,2,Carbamidomethylation,2.56E6,1.83E6,2.79E6,8.02E6,8.27E6,5.67E6,1.40:1.00:1.53:4.38:4.52:3.10,2.39E6,7.23E6,1.00:3.02,68286,F5/8 type C domain protein OS=Bacteroides sp. 2_1_16 GN=HMPREF0101_03049 PE=4 SV=1
3531,3828,tr|R6FB54|R6FB54_9BACE,5.93,19,10,4,Carbamidomethylation,1.93E6,2.55E6,0,1.05E6,0,0,0.75:1.00:0:0.41:0:0,1.49E6,3.5E5,1.00:0.23,73784,Uncharacterized protein OS=Bacteroides sp. CAG:633 GN=BN744_00701 PE=4 SV=1
1670,10087,tr|R5TTX6|R5TTX6_9BACE,5.89,42,9,2,Carbamidomethylation,1.19E5,1.98E5,1.27E6,2.15E6,1.01E6,2.44E6,0.60:1.00:6.39:10.84:5.08:12.29,5.28E5,1.87E6,1.00:3.53,20830,50S ribosomal protein L6 OS=Bacteroides sp. CAG:702 GN=rplF PE=3 SV=1
944,2847,tr|R6FD81|R6FD81_9BACE,5.86,27,13,3,Oxidation (M),9.05E6,7.16E6,1.24E6,6.62E5,7.45E5,4.01E6,1.26:1.00:0.17:0.09:0.10:0.56,5.82E6,1.8E6,1.00:0.31,61632,Uncharacterized protein OS=Bacteroides sp. CAG:633 GN=BN744_02330 PE=4 SV=1
4691,20639,tr|B6WTZ9|B6WTZ9_9DELT,5.83,7,3,1,,6.09E6,6.73E6,2.25E6,2.79E5,2.87E5,0,0.91:1.00:0.33:0.04:0.04:0,5.02E6,1.89E5,1.00:0.04,49386,Uncharacterized protein (Fragment) OS=Desulfovibrio piger ATCC 29098 GN=DESPIG_01557 PE=4 SV=1
4334,9248,tr|R5GGD5|R5GGD5_9BACT,5.80,17,6,5,,0,1.03E5,1.66E6,9.37E5,2.81E6,2.48E6,0:1.00:16.10:9.09:27.29:24.03,6.61E5,2.07E6,1.00:3.14,42934,Galactokinase OS=Prevotella sp. CAG:755 GN=BN773_00367 PE=3 SV=1
6120,20357,tr|C3WF13|C3WF13_FUSMR,5.73,33,3,3,,1.65E5,1.53E5,5.61E5,2.13E6,1.18E6,2.68E5,1.08:1.00:3.66:13.89:7.71:1.75,3.09E5,1.31E6,1.00:4.23,16583,50S ribosomal protein L13 OS=Fusobacterium mortiferum ATCC 9817 GN=rplM PE=3 SV=1
4160,11325,tr|A6LCF9|A6LCF9_PARD8,5.71,7,6,3,,1.93E5,2.17E5,3.72E5,3.31E5,1.31E6,1.59E6,0.89:1.00:1.71:1.52:6.02:7.30,2.61E5,1.08E6,1.00:4.12,116922,Putative outer membrane protein  probably involved in nutrient binding OS=Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152) GN=BDI_1621 PE=3 SV=1
4541,14332,tr|R6DZX2|R6DZX2_9BACT,5.63,17,4,4,,1.66E6,0,4.26E6,6.88E6,5.13E6,4.5E6,1.00:0:2.57:4.15:3.09:2.71,2.54E6,5.5E6,1.00:2.17,29689,MotA/TolQ/ExbB proton channel family protein OS=Prevotella sp. CAG:1320 GN=BN487_00306 PE=3 SV=1
3129,17274,tr|R5DXV8|R5DXV8_9FIRM,5.61,25,3,1,Carbamidomethylation,0,2.26E6,1.15E6,6.4E6,2.26E6,1.83E6,0:1.00:0.51:2.84:1.00:0.81,1.28E6,3.5E6,1.00:2.74,19873,Rubrerythrin OS=Ruminococcus sp. CAG:108 GN=BN462_01220 PE=4 SV=1
2722,11237,tr|R7JLB4|R7JLB4_9PORP,5.56,37,8,3,,0,7.18E5,1.04E6,2.59E6,2.31E6,1.26E6,0:1.00:1.45:3.61:3.21:1.75,5.86E5,2.05E6,1.00:3.50,20199,50S ribosomal protein L6 OS=Parabacteroides sp. CAG:409 GN=rplF PE=3 SV=1
1694,4991,tr|C7XDP2|C7XDP2_9PORP,5.53,16,10,2,,0,0,8.81E5,6.78E6,1.28E6,1.18E6,0:0:1.00:7.70:1.45:1.34,2.94E5,3.08E6,1.00:10.49,67092,30S ribosomal protein S1 OS=Parabacteroides sp. D13 GN=rpsA PE=4 SV=1
6083,19490,tr|A0A109W4T1|A0A109W4T1_9DELT,5.50,10,3,3,Carbamidomethylation,1.34E6,9.08E5,6.83E5,5.39E6,1.95E6,2.06E6,1.47:1.00:0.75:5.93:2.15:2.27,9.76E5,3.13E6,1.00:3.21,54820,Methylmalonate-semialdehyde dehydrogenase OS=Desulfovibrio fairfieldensis GN=AXF13_12170 PE=4 SV=1
6429,27309,tr|R7B0U2|R7B0U2_9BACE,5.49,8,1,1,,8.02E5,8.82E6,5.64E5,5.74E5,2.98E5,3.74E5,0.09:1.00:0.06:0.07:0.03:0.04,3.39E6,4.15E5,1.00:0.12,22739,50S ribosomal protein L4 OS=Bacteroides pectinophilus CAG:437 GN=rplD PE=3 SV=1
170,51,tr|F0R3E6|F0R3E6_BACSH,5.48,51,27,1,Carbamidomethylation; Oxidation (M),0,0,1.18E6,8.54E5,1.7E6,1.54E6,0:0:1.00:0.72:1.44:1.31,3.94E5,1.36E6,1.00:3.47,77837,Elongation factor G OS=Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78) GN=fusA PE=3 SV=1
2320,3861,tr|A0A0X8JIQ6|A0A0X8JIQ6_9DELT,5.47,27,13,2,Oxidation (M),7.2E5,1.4E6,1.28E5,3.61E6,8.83E5,3.5E6,0.51:1.00:0.09:2.58:0.63:2.50,7.49E5,2.66E6,1.00:3.55,58291,60 kDa chaperonin OS=Desulfovibrio fairfieldensis GN=groEL PE=3 SV=1
1158,4881,tr|R6MRM7|R6MRM7_9FIRM,5.46,51,12,4,Carbamidomethylation; Oxidation (M),2.41E6,1.58E6,3.83E6,3.08E5,1.65E6,4.78E5,1.52:1.00:2.42:0.19:1.04:0.30,2.61E6,8.11E5,1.00:0.31,36057,Glyceraldehyde-3-phosphate dehydrogenase OS=Megamonas funiformis CAG:377 GN=BN632_00940 PE=3 SV=1
2626,5174,tr|R5VXD2|R5VXD2_9BACE,5.45,26,10,3,Carbamidomethylation,6.88E4,0,1.18E5,7.52E5,1.33E5,1.23E5,1.00:0:1.71:10.94:1.94:1.79,6.99E4,3.36E5,1.00:4.81,52322,Uncharacterized protein OS=Bacteroides plebeius CAG:211 GN=BN536_00534 PE=3 SV=1
829,446,tr|R5CDC2|R5CDC2_9BACT,5.44,49,21,3,Carbamidomethylation; Oxidation (M),2.23E5,2.1E5,4.29E5,2.08E5,2.66E6,6.26E5,1.06:1.00:2.04:0.99:12.65:2.97,2.87E5,1.17E6,1.00:4.05,60834,Hydrolyase tartrate beta subunit/fumarate domain protein Fe-S type OS=Prevotella sp. CAG:1058 GN=BN458_01450 PE=4 SV=1
592,2234,tr|R6XXN8|R6XXN8_9FIRM,5.37,42,17,5,Carbamidomethylation,2.24E7,2.31E7,2.82E7,2.96E7,4.8E7,5E7,0.97:1.00:1.22:1.28:2.08:2.17,2.46E7,4.16E7,1.00:1.70,43434,Elongation factor Tu OS=Phascolarctobacterium succinatutens CAG:287 GN=tuf PE=3 SV=1
116,37,tr|R6YFC6|R6YFC6_9BACE,5.37,58,28,6,Carbamidomethylation; Oxidation (M),4.51E6,4.98E6,1.06E7,1.35E7,1.41E7,1.34E7,0.91:1.00:2.14:2.71:2.82:2.69,6.71E6,1.37E7,1.00:2.03,61274,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_00318 PE=4 SV=1
4938,18307,tr|R7JQ10|R7JQ10_9PORP,5.36,24,3,2,,0,0,0,5.31E6,5.69E5,9.72E5,0:0:0:1.00:0.11:0.18,0,2.28E6,0:1.00,12700,50S ribosomal protein L7/L12 OS=Parabacteroides sp. CAG:409 GN=rplL PE=3 SV=1
2671,3316,tr|R5U044|R5U044_9BACE,5.32,32,12,3,Carbamidomethylation,0,7.05E5,0,1.43E6,1.68E6,0,0:1.00:0:2.03:2.38:0,2.35E5,1.04E6,1.00:4.41,53552,Xylulokinase OS=Bacteroides sp. CAG:702 GN=BN759_00826 PE=4 SV=1
701,1254,tr|B6WXE7|B6WXE7_9DELT,5.27,32,19,4,Carbamidomethylation; Oxidation (M),2.85E6,3.77E6,8.65E5,6.55E5,9.34E5,8.94E5,0.76:1.00:0.23:0.17:0.25:0.24,2.5E6,8.28E5,1.00:0.33,74125,Adenylylsulfate reductase  alpha subunit OS=Desulfovibrio piger ATCC 29098 GN=aprA PE=4 SV=1
3213,5023,tr|R6Y9L7|R6Y9L7_9BACE,5.20,32,9,2,Carbamidomethylation,0,0,4.27E5,1.23E6,7.76E5,0,0:0:1.00:2.89:1.82:0,1.42E5,6.7E5,1.00:4.71,42702,N-acetylglucosamine-6-phosphate deacetylase OS=Bacteroides sp. CAG:714 GN=BN762_00411 PE=3 SV=1
4665,15402,tr|R5ZW03|R5ZW03_9BACT,5.13,7,4,1,,0,0,7.57E5,3.47E6,9.92E5,3.04E6,0:0:1.00:4.58:1.31:4.02,2.52E5,2.5E6,1.00:9.91,58030,60 kDa chaperonin OS=Prevotella sp. CAG:5226 GN=groL PE=3 SV=1
1345,3821,tr|R6D501|R6D501_9BACE,5.08,37,13,1,Carbamidomethylation,5.08E6,3.55E6,0,1.23E6,0,0,1.43:1.00:0:0.35:0:0,2.88E6,4.11E5,1.00:0.14,42973,Galactokinase OS=Bacteroides coprocola CAG:162 GN=BN509_00703 PE=3 SV=1
1111,1119,tr|R5U399|R5U399_9BACE,4.95,52,19,3,Carbamidomethylation,6.93E4,2.51E4,6.5E5,9.02E5,1.11E6,6.02E5,2.76:1.00:25.87:35.92:44.21:23.96,2.48E5,8.72E5,1.00:3.51,59841,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase OS=Bacteroides sp. CAG:702 GN=pfp PE=3 SV=1
4586,9706,tr|C3WFZ1|C3WFZ1_FUSMR,4.92,38,6,6,,6.62E5,2.46E6,1.05E6,3.56E6,3.85E6,3.87E6,0.27:1.00:0.43:1.44:1.56:1.57,1.34E6,3.76E6,1.00:2.80,22284,30S ribosomal protein S4 OS=Fusobacterium mortiferum ATCC 9817 GN=rpsD PE=3 SV=1
5397,10877,tr|R6FJT4|R6FJT4_9BACE,4.86,23,6,1,,0,0,1.77E5,2.92E6,1.29E6,0,0:0:1.00:16.46:7.29:0,5.92E4,1.41E6,1.00:23.75,35763,UPF0365 protein BN744_00995 OS=Bacteroides sp. CAG:633 GN=BN744_00995 PE=3 SV=1
5462,18196,tr|R6ZND5|R6ZND5_9BACE,4.86,4,3,3,,2.47E5,2.23E6,1E5,3.09E5,1.51E5,2.32E5,0.11:1.00:0.04:0.14:0.07:0.10,8.6E5,2.31E5,1.00:0.27,111058,TonB-dependent receptor OS=Bacteroides sp. CAG:714 GN=BN762_02120 PE=3 SV=1
5648,15387,tr|R5CRB9|R5CRB9_9BACT,4.85,11,4,2,,3.16E5,2.71E5,4.78E5,1.92E6,1.37E6,4.92E5,1.17:1.00:1.77:7.08:5.06:1.82,3.55E5,1.26E6,1.00:3.55,47412,L-rhamnose isomerase OS=Prevotella sp. CAG:255 GN=rhaA PE=3 SV=1
291,23,tr|B5CXT7|B5CXT7_BACPM,4.84,65,25,3,Carbamidomethylation; Oxidation (M); Acetylation (Protein N-term),2.33E6,3.71E6,2.01E6,9.8E6,3.9E6,5.29E6,0.63:1.00:0.54:2.64:1.05:1.43,2.68E6,5.98E6,1.00:2.23,59050,Phosphoenolpyruvate carboxykinase [ATP] OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=pckA PE=3 SV=1
5687,26653,tr|W0U6I1|W0U6I1_9FIRM,4.83,10,2,2,Acetylation (Protein N-term),2.9E6,5.67E6,1.94E6,4.09E5,7.43E5,5.59E5,0.51:1.00:0.34:0.07:0.13:0.10,3.5E6,5.7E5,1.00:0.16,20831,Elongation factor P OS=Ruminococcus bicirculans GN=efp PE=3 SV=1
604,1330,tr|R5V7U9|R5V7U9_9BACE,4.82,46,17,3,Carbamidomethylation; Oxidation (M),8.78E5,6.87E5,5.89E5,4.64E6,7.25E5,9.15E5,1.28:1.00:0.86:6.77:1.06:1.33,7.18E5,2.09E6,1.00:2.92,57037,L-arabinose isomerase OS=Bacteroides plebeius CAG:211 GN=araA PE=3 SV=1
2699,3673,tr|R5MK83|R5MK83_9BACE,4.82,13,11,8,Carbamidomethylation; Oxidation (M),6.1E6,4.92E6,1.86E6,1.23E6,1.31E6,2.87E6,1.24:1.00:0.38:0.25:0.27:0.58,4.29E6,1.8E6,1.00:0.42,124995,Outer membrane protein Omp121 OS=Bacteroides sp. CAG:1076 GN=BN461_02215 PE=3 SV=1
301,828,tr|R5Q1U9|R5Q1U9_9BACT,4.77,34,24,1,Carbamidomethylation; Oxidation (M),6.24E5,6.14E5,8.62E5,3.43E6,3.03E6,3.83E5,1.02:1.00:1.40:5.58:4.93:0.62,7E5,2.28E6,1.00:3.26,73468,Fumarate reductase flavoprotein subunit OS=Prevotella sp. CAG:487 GN=BN679_01899 PE=4 SV=1
6371,23628,tr|R7IHZ4|R7IHZ4_9FIRM,4.76,21,2,2,,3.26E6,1.22E6,0,0,0,0,2.67:1.00:0:0:0:0,1.5E6,0,1.00:0,17634,30S ribosomal protein S7 OS=Faecalibacterium sp. CAG:74 GN=rpsG PE=3 SV=1
6270,16602,tr|R6YRL8|R6YRL8_9BACE,4.75,13,3,2,Carbamidomethylation,3.04E5,1.98E5,0,1.89E6,7.34E5,1.26E6,1.53:1.00:0:9.54:3.70:6.34,2.01E5,1.29E6,1.00:6.44,45485,Uncharacterized protein OS=Bacteroides sp. CAG:714 GN=BN762_01725 PE=4 SV=1
4386,14854,tr|K6GRJ0|K6GRJ0_9DELT,4.71,5,5,1,,2.7E6,2.86E6,6.34E5,6.52E5,9.01E5,4.12E5,0.95:1.00:0.22:0.23:0.31:0.14,2.07E6,6.55E5,1.00:0.32,130021,Pyruvate synthase OS=Desulfovibrio magneticus str. Maddingley MBC34 GN=B193_1718 PE=4 SV=1
1429,5758,tr|U2E107|U2E107_9BACE,4.71,43,11,1,Carbamidomethylation,0,0,0,2.89E6,0,0,0:0:0:1.00:0:0,0,9.63E5,0:1.00,36582,Fructose-1 6-bisphosphate aldolase  class II OS=Bacteroides pyogenes F0041 GN=HMPREF1981_01139 PE=3 SV=1
2236,2002,tr|B5CTN6|B5CTN6_BACPM,4.65,58,15,2,Carbamidomethylation; Oxidation (M),0,0,0,3.01E6,0,0,0:0:0:1.00:0:0,0,1E6,0:1.00,37504,DNA-directed RNA polymerase subunit alpha OS=Bacteroides plebeius (strain DSM 17135 / JCM 12973 / M2) GN=rpoA PE=3 SV=1
113,91,tr|R5UQZ1|R5UQZ1_9BACE,4.60,52,45,2,Carbamidomethylation; Oxidation (M),0,8.08E4,2.38E5,2.96E5,4.29E5,4.83E5,0:1.00:2.94:3.66:5.31:5.98,1.06E5,4.03E5,1.00:3.79,130276,Pyruvate-flavodoxin oxidoreductase OS=Bacteroides sp. CAG:702 GN=BN759_00495 PE=3 SV=1
2404,11554,tr|A0A0J9DD77|A0A0J9DD77_9PORP,4.58,30,5,1,Oxidation (M),2.17E6,1.14E6,0,6.26E6,1.53E6,1.77E6,1.91:1.00:0:5.49:1.34:1.56,1.24E6,3.19E6,1.00:2.56,26030,Uncharacterized protein OS=Parabacteroides sp. D26 GN=HMPREF1000_02953 PE=3 SV=1
5195,16451,tr|R6MLT0|R6MLT0_9FIRM,4.58,16,3,1,,0,0,2.47E6,0,2.94E5,0,0:0:1.00:0:0.12:0,8.22E5,9.81E4,1.00:0.12,24719,30S ribosomal protein S3 OS=Megamonas funiformis CAG:377 GN=rpsC PE=3 SV=1
5728,23349,tr|R6J4S8|R6J4S8_9FIRM,4.52,12,2,2,,4.8E5,2.1E6,2.03E6,9.83E5,6.21E6,3.89E6,0.23:1.00:0.97:0.47:2.95:1.85,1.54E6,3.69E6,1.00:2.40,20943,Peroxiredoxin OS=Phascolarctobacterium sp. CAG:207 GN=BN533_00435 PE=4 SV=1
6327,26520,tr|R5V1Y7|R5V1Y7_9FIRM,4.52,15,2,2,,0,0,0,1.45E6,1.23E6,1.09E6,0:0:0:1.00:0.85:0.75,0,1.26E6,0:1.00,15871,50S ribosomal protein L13 OS=Ruminococcus sp. CAG:254 GN=rplM PE=3 SV=1
1676,3518,tr|R7I5B2|R7I5B2_9FIRM,4.48,27,14,7,Carbamidomethylation; Oxidation (M),5.84E6,3.43E6,1.29E6,1.62E6,6.48E5,1.89E6,1.70:1.00:0.38:0.47:0.19:0.55,3.52E6,1.46E6,1.00:0.41,65641,Pyruvate phosphate dikinase OS=Faecalibacterium sp. CAG:74 GN=BN770_01125 PE=4 SV=1
